spread_to_elo,spread_threshold,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n
20,60,0.21731474455348518,0.6243479659537816,0.6605175506021009,0.8157894736842105,418,0.7414965986394558,1323
20,80,0.2171215057192762,0.6240714066910426,0.6612861901101716,0.8,465,0.7239144523655218,1543
20,100,0.2162094941868424,0.6219378290740977,0.6615424032795285,0.795774647887324,568,0.7172568858909499,1779
20,120,0.21620188253765335,0.6221442559742584,0.6620548296182424,0.7779369627507163,698,0.7145922746781116,1864
20,150,0.21688298755346924,0.6244449926727643,0.6620548296182424,0.7647058823529411,952,0.7160560344827587,1856
20,200,0.21824196506251908,0.6294479160969685,0.6620548296182424,0.7619047619047619,1260,0.7164420485175202,1855
20,300,0.21873752085577122,0.6324406549900061,0.6620548296182424,0.7633466135458168,1255,0.7162891046386192,1854
24,0,0.2206046197142016,0.640651572208074,0.6635921086343838,0.7586206896551724,1363,0.7106625258799172,1932
24,60,0.21740964303210858,0.6245112921239032,0.6610299769408148,0.8181818181818182,440,0.7326661901358112,1399
24,80,0.2174655770870669,0.624923031440915,0.6620548296182424,0.7976424361493124,509,0.7157829839704068,1622
24,100,0.2167058388753136,0.6231881615186787,0.6625672559569562,0.7905511811023622,635,0.7104413347685683,1858
24,120,0.21695270109609302,0.6242304767940201,0.6633358954650269,0.768170426065163,798,0.7083333333333334,1944
24,150,0.21806833518554666,0.6281991438139191,0.6635921086343838,0.7577756833176249,1061,0.710077519379845,1935
24,200,0.21996036118275267,0.6357721936473896,0.6635921086343838,0.7567567567567568,1369,0.7104446742502585,1934
24,300,0.22069916516930582,0.640677719920369,0.6635921086343838,0.7580645161290323,1364,0.7106625258799172,1932
28,0,0.2229473795441778,0.6511562602416984,0.66307968229567,0.7522367515485203,1453,0.7047619047619048,1995
28,60,0.21773252659260914,0.6252070994945519,0.6589802715859595,0.8086021505376344,465,0.7246575342465753,1460
28,80,0.21809625459074541,0.6265204974287315,0.6615424032795285,0.7915904936014625,547,0.7094474153297683,1683
28,100,0.217551731206133,0.6254109180083208,0.6620548296182424,0.7776183644189383,697,0.7043206663196252,1921
28,120,0.21809120167613874,0.6274986567667882,0.6628234691263131,0.7579185520361991,884,0.70254110612855,2007
28,150,0.21966342908470188,0.6334314163299001,0.66307968229567,0.7497827975673328,1151,0.7042042042042042,1998
28,200,0.22208023556302245,0.6439284188599708,0.66307968229567,0.750514050719671,1459,0.7045568352528793,1997
28,300,0.2230466135407638,0.651000754678439,0.66307968229567,0.7517193947730398,1454,0.7047619047619048,1995
